Injection,Well,pH,Basal_pH,Î”pH
Baseline,A01,7.908596990115278,7.908596990115278,0.0
Baseline,A12,7.722705194274845,7.722705194274845,0.0
Baseline,B01,7.772266464322581,7.772266464322581,0.0
Baseline,B12,7.64671596447436,7.64671596447436,0.0
Baseline,C01,7.797401484668515,7.797401484668515,0.0
Baseline,C12,7.657998138986427,7.657998138986427,0.0
Baseline,D01,7.779788929570884,7.779788929570884,0.0
Baseline,D12,7.671663827444846,7.671663827444846,0.0
Baseline,E01,7.744319092549766,7.744319092549766,0.0
Baseline,E12,7.689916965232506,7.689916965232506,0.0
Baseline,F01,7.7368235903589095,7.7368235903589095,0.0
Baseline,F12,7.6800010563140075,7.6800010563140075,0.0
Baseline,G01,7.741500537612916,7.741500537612916,0.0
Baseline,G12,7.646177232205166,7.646177232205166,0.0
Baseline,H01,8.02112546810196,8.02112546810196,0.0
Baseline,H12,7.834112235514975,7.834112235514975,0.0
LPS+IFNg,A01,7.918809034573938,7.908596990115278,0.010212044458659975
LPS+IFNg,A12,7.635032123868363,7.722705194274845,-0.0876730704064812
LPS+IFNg,B01,7.733186076531588,7.772266464322581,-0.03908038779099332
LPS+IFNg,B12,7.570699859178828,7.64671596447436,-0.07601610529553238
LPS+IFNg,C01,7.796732989500727,7.797401484668515,-0.0006684951677877748
LPS+IFNg,C12,7.590874916130306,7.657998138986427,-0.06712322285612071
LPS+IFNg,D01,7.771558224846222,7.779788929570884,-0.00823070472466192
LPS+IFNg,D12,7.593011432972842,7.671663827444846,-0.07865239447200345
LPS+IFNg,E01,7.772040174596237,7.744319092549766,0.027721082046470613
LPS+IFNg,E12,7.6403338810772,7.689916965232506,-0.04958308415530599
LPS+IFNg,F01,7.763058035746016,7.7368235903589095,0.026234445387106398
LPS+IFNg,F12,7.632100930083768,7.6800010563140075,-0.04790012623023987
LPS+IFNg,G01,7.770989881129443,7.741500537612916,0.0294893435165271
LPS+IFNg,G12,7.580406725842724,7.646177232205166,-0.0657705063624423
LPS+IFNg,H01,8.033011485833223,8.02112546810196,0.0118860177312623
LPS+IFNg,H12,7.702852339793729,7.834112235514975,-0.13125989572124563
Oligo,A01,7.745463151651933,7.908596990115278,-0.16313383846334517
Oligo,A12,7.489448175505849,7.722705194274845,-0.2332570187689953
Oligo,B01,7.5535243214767345,7.772266464322581,-0.21874214284584692
Oligo,B12,7.413013098134085,7.64671596447436,-0.23370286634027515
Oligo,C01,7.619469060891625,7.797401484668515,-0.17793242377689023
Oligo,C12,7.4372530219054385,7.657998138986427,-0.22074511708098843
Oligo,D01,7.598867747911771,7.779788929570884,-0.1809211816591132
Oligo,D12,7.426925849801252,7.671663827444846,-0.2447379776435934
Oligo,E01,7.604002562507286,7.744319092549766,-0.14031653004248046
Oligo,E12,7.485908763831944,7.689916965232506,-0.20400820140056197
Oligo,F01,7.592626820633892,7.7368235903589095,-0.14419676972501794
Oligo,F12,7.470641424704596,7.6800010563140075,-0.20935963160941196
Oligo,G01,7.597280184299327,7.741500537612916,-0.14422035331358884
Oligo,G12,7.442893839022868,7.646177232205166,-0.20328339318229816
Oligo,H01,7.85522386439345,8.02112546810196,-0.1659016037085106
Oligo,H12,7.546335936839742,7.834112235514975,-0.287776298675233
FCCP,A01,7.618242157919513,7.908596990115278,-0.2903548321957645
FCCP,A12,7.358152691668019,7.722705194274845,-0.36455250260682526
FCCP,B01,7.4223252397880035,7.772266464322581,-0.3499412245345779
FCCP,B12,7.286410892841554,7.64671596447436,-0.3603050716328067
FCCP,C01,7.486226779744731,7.797401484668515,-0.31117470492378363
FCCP,C12,7.299901622472258,7.657998138986427,-0.35809651651416896
FCCP,D01,7.46820925179083,7.779788929570884,-0.31157967778005435
FCCP,D12,7.293989536227478,7.671663827444846,-0.3776742912173674
FCCP,E01,7.473102674415147,7.744319092549766,-0.2712164181346193
FCCP,E12,7.357887462903536,7.689916965232506,-0.3320295023289699
FCCP,F01,7.461176005468123,7.7368235903589095,-0.27564758489078667
FCCP,F12,7.329462317230018,7.6800010563140075,-0.3505387390839898
FCCP,G01,7.476039821271097,7.741500537612916,-0.26546071634181967
FCCP,G12,7.327401966403829,7.646177232205166,-0.31877526580133697
FCCP,H01,7.71363066891728,8.02112546810196,-0.30749479918468037
FCCP,H12,7.400476881888997,7.834112235514975,-0.43363535362597805
Rot+AA,A01,7.489837805638098,7.908596990115278,-0.41875918447717986
Rot+AA,A12,7.245047180597346,7.722705194274845,-0.47765801367749816
Rot+AA,B01,7.302077356708239,7.772266464322581,-0.47018910761434274
Rot+AA,B12,7.14810907163484,7.64671596447436,-0.4986068928395202
Rot+AA,C01,7.370251823472768,7.797401484668515,-0.42714966119574704
Rot+AA,C12,7.160429469582257,7.657998138986427,-0.49756866940416966
Rot+AA,D01,7.347568620685507,7.779788929570884,-0.4322203088853769
Rot+AA,D12,7.148860949276871,7.671663827444846,-0.5228028781679743
Rot+AA,E01,7.355099459954914,7.744319092549766,-0.3892196325948518
Rot+AA,E12,7.191014227528788,7.689916965232506,-0.49890273770371785
Rot+AA,F01,7.362735418901499,7.7368235903589095,-0.37408817145741047
Rot+AA,F12,7.1696443361045,7.6800010563140075,-0.5103567202095078
Rot+AA,G01,7.360992957702886,7.741500537612916,-0.3805075799100299
Rot+AA,G12,7.180832644217775,7.646177232205166,-0.4653445879873912
Rot+AA,H01,7.5852101446017794,8.02112546810196,-0.4359153235001809
Rot+AA,H12,7.224937041197963,7.834112235514975,-0.6091751943170118
